run_id,epoch,model,context_style,kind_kwargs,val/iid_MSE,val/far_MSE,val/wide_MSE
tncqzrqx,934,implicit,near,"{'fixed_freq': True, 'n_freq': 3}",0.0007272909278981388,0.04335926100611687,0.20653730630874634
9x9gsnar,934,implicit,near,"{'fixed_freq': True, 'n_freq': 3}",0.0012787968153133988,0.10150660574436188,0.23092469573020935
izu5lx1y,934,implicit,near,"{'fixed_freq': True, 'n_freq': 3}",0.0013315984979271889,0.10186569392681122,0.2592321038246155
4gkd3zap,968,implicit,same,"{'fixed_freq': False, 'n_freq': 3}",0.002971302019432187,0.19017323851585388,0.163874089717865
51bsed02,968,implicit,same,"{'fixed_freq': False, 'n_freq': 3}",0.002518906956538558,0.17269015312194824,0.15677648782730103
xdv78x2i,968,implicit,same,"{'fixed_freq': False, 'n_freq': 3}",0.002426987048238516,0.1857989877462387,0.1603839248418808
bce3y9u7,968,implicit,same,"{'fixed_freq': False, 'n_freq': 3}",0.002618631115183234,0.1730092167854309,0.1585758477449417
bcjbfxf9,968,implicit,same,"{'fixed_freq': False, 'n_freq': 3}",0.0030478439293801785,0.21151143312454224,0.1649128496646881
fm95zxbm,969,implicit,same,"{'fixed_freq': True, 'n_freq': 10}",0.00417533703148365,0.2369856834411621,0.5267473459243774
5j78okgb,969,implicit,same,"{'fixed_freq': True, 'n_freq': 10}",0.00442356476560235,0.22552305459976196,0.5174980759620667
mhxkt0jq,969,implicit,same,"{'fixed_freq': True, 'n_freq': 10}",0.0037524572107940912,0.2371833771467209,0.5677003860473633
z0m0l6mo,969,implicit,same,"{'fixed_freq': True, 'n_freq': 10}",0.005455160979181528,0.27590394020080566,0.5981431007385254
i1s096vf,969,implicit,same,"{'fixed_freq': True, 'n_freq': 10}",0.00362520944327116,0.2215547412633896,0.5077089071273804
50iq9k13,837,implicit,same,"{'fixed_freq': True, 'n_freq': 3}",0.0003227907873224467,0.006998310796916485,0.14413103461265564
mf6vrssh,837,implicit,same,"{'fixed_freq': True, 'n_freq': 3}",0.0003343397402204573,0.006974876392632723,0.14759010076522827
h962do7j,837,implicit,same,"{'fixed_freq': True, 'n_freq': 3}",0.0003592712164390832,0.005893286317586899,0.1662009358406067
hg80051s,837,implicit,same,"{'fixed_freq': True, 'n_freq': 3}",0.00028071971610188484,0.0047983815893530846,0.1675456017255783
bosucwzl,837,implicit,same,"{'fixed_freq': True, 'n_freq': 3}",0.0003364242147654295,0.008753121830523014,0.1516260802745819
