run_id,epoch,model,context_style,ood_intensity,val/iid_MSE,val/wide_MSE
ooazs2th,633,explicit-known,same,1.5,0.00015827073366381228,0.0002688889508135617
1l66b70p,633,explicit-known,same,1.5,0.00012951398093719035,0.00021779998496640474
b2ab3r8g,925,explicit-known,same,2.0,0.0001296760601690039,0.0002899379178415984
hd883kpj,925,explicit-known,same,2.0,0.0001468528207624331,0.00036768816062249243
44lw7u0t,925,explicit-known,same,2.0,0.00018211068527307361,0.0004670085327234119
4h9uz6fw,925,explicit-known,same,2.0,9.382534335600212e-05,0.0002441912656649947
0czrlfvb,925,explicit-known,same,2.0,0.00031458804733119905,0.0005921722040511668
opdwn00w,925,explicit-known,same,2.5,0.00034901429899036884,0.0006398449186235666
dt2bn3kh,925,explicit-known,same,2.5,0.0001468528207624331,0.0005332113360054791
magvkikz,925,explicit-known,same,2.5,0.00018211068527307361,0.0006807515164837241
p9ndatnd,925,explicit-known,same,2.5,0.00018539179291110486,0.0004697325057350099
r20y9mjv,925,explicit-known,same,2.5,0.00031458804733119905,0.0008002718677744269
7dv9iux6,926,explicit-mlp,same,1.0,0.000560610496904701,0.000560610496904701
st50ua78,926,explicit-mlp,same,1.0,0.0004935211618430912,0.0004935211618430912
9jaio2ll,926,explicit-mlp,same,1.0,0.0002846830175258219,0.0002846830175258219
816r2v0f,926,explicit-mlp,same,1.0,0.0002082782593788579,0.0002082782593788579
0a9w8iim,926,explicit-mlp,same,1.0,0.00013818696606904268,0.00013818696606904268
x0ylks2u,942,explicit-mlp,same,1.5,0.00042466126615181565,0.00262435176409781
dsnpoj67,942,explicit-mlp,same,1.5,0.00026513630291447043,0.0014548574108630419
37zmm4gg,942,explicit-mlp,same,1.5,0.00028368967468850315,0.0017990076448768377
kyi6go6c,942,explicit-mlp,same,1.5,0.0003243892570026219,0.0015789110912010074
otrsntnz,942,explicit-mlp,same,1.5,0.0003331319894641638,0.002040732651948929
iisr2t41,935,explicit-mlp,same,2.0,0.0009470992372371256,0.022285614162683487
lcpdugpf,935,explicit-mlp,same,2.0,0.000294349534669891,0.012205129489302635
fmk19tue,935,explicit-mlp,same,2.0,0.00022440981410909444,0.014599768444895744
g51jz7c2,935,explicit-mlp,same,2.0,0.00021388757159002125,0.011051821522414684
jqypt1fg,935,explicit-mlp,same,2.0,0.00020712688274215907,0.012799941934645176
1taltq9u,926,explicit-mlp,same,2.5,0.0006558679742738605,0.05648689344525337
5dyugv4c,926,explicit-mlp,same,2.5,0.0004935211618430912,0.0596880167722702
h7w4ertt,926,explicit-mlp,same,2.5,0.0002846830175258219,0.07214980572462082
oyhae836,926,explicit-mlp,same,2.5,0.0005589373176917434,0.05181329697370529
9774diu4,926,explicit-mlp,same,2.5,0.00013818696606904268,0.0563596673309803
2t3guve8,493,explicit-transformer,same,1.0,0.00039842998376116157,0.00039842998376116157
nezg95eb,493,explicit-transformer,same,1.0,0.00036914070369675756,0.00036914070369675756
sbhp8hx7,493,explicit-transformer,same,1.0,0.0003115844738204032,0.0003115844738204032
10ya8du1,493,explicit-transformer,same,1.0,0.0002105141174979508,0.0002105141174979508
xv976jnx,756,explicit-transformer,same,1.5,0.0001947449636645615,0.0029675050172954798
fodd6i3x,756,explicit-transformer,same,1.5,0.0008018668740987778,0.003570685861632228
tuttelsl,756,explicit-transformer,same,1.5,0.0003332343476358801,0.0031241164542734623
h6zgs53q,756,explicit-transformer,same,1.5,0.0007284616585820913,0.003264061640948057
ktego1h5,756,explicit-transformer,same,1.5,0.00024238970945589244,0.002643636194989085
cx7q3amt,985,explicit-transformer,same,2.0,0.00021116914285812527,0.0261875931173563
n1wmiubu,985,explicit-transformer,same,2.0,0.000716573849786073,0.027862602844834328
yxgd6fkf,985,explicit-transformer,same,2.0,0.0003392405342310667,0.025249117985367775
tplghltk,985,explicit-transformer,same,2.0,0.0007862025522626936,0.03036968968808651
sk9ftp5s,985,explicit-transformer,same,2.0,0.0002989591157529503,0.026339754462242126
hea3wbmc,895,explicit-transformer,same,2.5,0.0001319154689554125,0.11966289579868317
ekkae1jx,895,explicit-transformer,same,2.5,0.0003363535215612501,0.11885809898376465
zsjap14j,895,explicit-transformer,same,2.5,0.0004887207760475576,0.12250524014234543
9pj51xbe,895,explicit-transformer,same,2.5,0.00029005290707573295,0.12511976063251495
8ypio4nt,895,explicit-transformer,same,2.5,0.00015145275392569602,0.13168223202228546
5tf34d8k,795,implicit,same,1.0,0.00013670662883669138,0.00013670662883669138
f7ws5494,795,implicit,same,1.0,0.00012644665548577905,0.00012644665548577905
svw430b3,795,implicit,same,1.0,8.947613241616637e-05,8.947613241616637e-05
bunpm8tl,795,implicit,same,1.0,0.00010524680692469701,0.00010524680692469701
tjv1vb47,795,implicit,same,1.0,0.0002786103868857026,0.0002786103868857026
oig2e9ar,947,implicit,same,1.5,0.0001303087337873876,0.0019832870457321405
fzjslah2,947,implicit,same,1.5,0.00010636623483151197,0.0017386253457516432
8astaibj,947,implicit,same,1.5,7.189272582763806e-05,0.0021619568578898907
9euxjxim,947,implicit,same,1.5,0.0003337061498314142,0.002523522125557065
tbnhkx2x,947,implicit,same,1.5,0.00011415815242798999,0.0016852034023031592
xquts2q0,785,implicit,same,2.0,0.0001062785813701339,0.023265771567821503
syu6w81x,785,implicit,same,2.0,0.00014101578562986106,0.022682571783661842
bvddx7ie,785,implicit,same,2.0,0.00014289680984802544,0.02537798136472702
t8bhlpw1,785,implicit,same,2.0,0.0001968636061064899,0.02086053043603897
li2ity18,785,implicit,same,2.0,0.0002573329256847501,0.02465607412159443
dhc6q7pr,830,implicit,same,2.5,6.062755346647464e-05,0.10607726126909256
900kk243,830,implicit,same,2.5,0.0001311689557041973,0.09920274466276169
ulw2hiw2,830,implicit,same,2.5,7.62049385230057e-05,0.10735870152711868
jv8czv3t,830,implicit,same,2.5,0.00017305002256762236,0.10686981678009033
hwuodor6,830,implicit,same,2.5,0.00027102077729068696,0.09695116430521011
