run_id,epoch,model,context_style,ood_intensity,val/iid_MSE,val/wide_MSE
n9lb29w9,989,explicit-mlp,same,1.5,0.001138073392212391,0.014494985342025757
rnu3r6yl,989,explicit-mlp,same,1.5,0.0011992017971351743,0.014109947718679905
6wfpj1ht,989,explicit-mlp,same,2.0,0.00131253304425627,0.09811793267726898
vtwrd392,989,explicit-mlp,same,2.0,0.0009642105433158576,0.07441999018192291
j2e8zpqk,989,explicit-mlp,same,2.0,0.0012730376329272985,0.07426201552152634
u1vplx98,989,explicit-mlp,same,2.0,0.0018021585419774055,0.11289326846599579
fbqhcm26,989,explicit-mlp,same,2.0,0.0014184208121150732,0.08775348961353302
ez0b0um5,989,explicit-mlp,same,2.5,0.00131253304425627,0.26436638832092285
am865i4s,989,explicit-mlp,same,2.5,0.0009642105433158576,0.20262575149536133
3ceuh0o5,989,explicit-mlp,same,2.5,0.000927817658521235,0.2495969533920288
2uwyj1pe,989,explicit-mlp,same,2.5,0.001138073392212391,0.25518903136253357
90me7250,989,explicit-mlp,same,2.5,0.0019217937951907516,0.23142586648464203
hztk3ibw,989,explicit-transformer,same,1.0,0.0005480129620991647,0.0005480129620991647
45dhc7gw,989,explicit-transformer,same,1.0,0.0006077715079300106,0.0006077715079300106
d5w295m1,989,explicit-transformer,same,1.0,0.0005110509810037911,0.0005110509810037911
wnu0x1zm,989,explicit-transformer,same,1.0,0.0005661424365825951,0.0005661424365825951
zq4vc4i2,989,explicit-transformer,same,1.0,0.0006805068114772439,0.0006805068114772439
rgkujcf6,848,explicit-transformer,same,1.5,0.00048806038103066385,0.007345491088926792
ohy85w65,848,explicit-transformer,same,1.5,0.00045689402031712234,0.008585006929934025
7jv9zb2k,848,explicit-transformer,same,1.5,0.0006280745728872716,0.007806120440363884
a5mtnrs2,848,explicit-transformer,same,1.5,0.0008692674455232918,0.009265633299946785
3h25nli4,848,explicit-transformer,same,1.5,0.0007261981372721493,0.009259015321731567
q2y4rdqn,989,explicit-transformer,same,2.0,0.0005480129620991647,0.036653220653533936
28fkqnhn,989,explicit-transformer,same,2.0,0.0005414818879216909,0.04774332046508789
zfwkhgin,989,explicit-transformer,same,2.0,0.0005826731212437153,0.0404222197830677
mlqgzbcs,989,explicit-transformer,same,2.0,0.0011127901962026954,0.04391912743449211
c9y2565s,989,explicit-transformer,same,2.0,0.0006805068114772439,0.04149029403924942
fkgg9id8,966,explicit-transformer,same,2.5,0.0006214728346094489,0.10769366472959518
wijc8l2z,966,explicit-transformer,same,2.5,0.0004607047594618052,0.1293458789587021
vxqqfaue,966,explicit-transformer,same,2.5,0.0004670114431064576,0.1176370158791542
j9svucdc,966,explicit-transformer,same,2.5,0.000745090888813138,0.12276793271303177
39um8vi0,966,explicit-transformer,same,2.5,0.0010754712857306004,0.11263494193553925
